innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_Australia_win,p_draw
1.0,1.0,0.0,1.0,England,0.0,0.0,0.0,0.44756094,0.37433672,0.17810236
1.0,1.0,0.0,2.0,England,0.0,0.0,0.0,0.44756094,0.37433672,0.17810236
1.0,1.0,0.0,3.0,England,0.0,0.0,0.0,0.44756094,0.37433672,0.17810236
1.0,1.0,0.0,4.0,England,0.0,0.0,0.0,0.44756094,0.37433672,0.17810236
1.0,1.0,0.0,5.0,England,0.0,0.0,0.0,0.44756094,0.37433672,0.17810236
1.0,1.0,0.0,6.0,England,0.0,0.0,0.0,0.44756094,0.37433672,0.17810236
1.0,1.0,1.0,7.0,England,0.0,0.0,0.0,0.5035129,0.34281126,0.15367581
1.0,1.0,1.0,8.0,England,0.0,0.0,0.0,0.5035129,0.34281126,0.15367581
1.0,1.0,1.0,9.0,England,0.0,0.0,0.0,0.5035129,0.34281126,0.15367581
1.0,1.0,1.0,10.0,England,0.0,0.0,0.0,0.5035129,0.34281126,0.15367581
1.0,1.0,1.0,11.0,England,0.0,0.0,0.0,0.5035129,0.34281126,0.15367581
1.0,1.0,1.0,12.0,England,0.0,0.0,0.0,0.5035129,0.34281126,0.15367581
1.0,1.0,2.0,13.0,England,1.0,0.0,1.0,0.53542614,0.29547957,0.16909428
1.0,1.0,2.0,14.0,England,1.0,0.0,1.0,0.53542614,0.29547957,0.16909428
1.0,1.0,2.0,15.0,England,2.0,0.0,2.0,0.44756094,0.37433672,0.17810236
1.0,1.0,2.0,16.0,England,3.0,0.0,3.0,0.53542614,0.29547957,0.16909428
1.0,1.0,2.0,17.0,England,3.0,0.0,3.0,0.53542614,0.29547957,0.16909428
1.0,1.0,2.0,18.0,England,3.0,0.0,3.0,0.53542614,0.29547957,0.16909428
1.0,1.0,3.0,19.0,England,3.0,0.0,3.0,0.39845127,0.45327285,0.14827587
1.0,1.0,3.0,20.0,England,5.0,0.0,5.0,0.39845127,0.45327285,0.14827587
1.0,1.0,3.0,21.0,England,5.0,0.0,5.0,0.39845127,0.45327285,0.14827587
1.0,1.0,3.0,22.0,England,5.0,0.0,5.0,0.39845127,0.45327285,0.14827587
1.0,1.0,3.0,23.0,England,5.0,0.0,5.0,0.39845127,0.45327285,0.14827587
1.0,1.0,3.0,24.0,England,5.0,0.0,5.0,0.39845127,0.45327285,0.14827587
1.0,1.0,4.0,25.0,England,5.0,0.0,5.0,0.53542614,0.29547957,0.16909428
