innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_India_win,p_draw
1.0,1.0,9.0,58.0,India,16.0,1.0,16.0,0.37452912,0.39688504,0.22858582
1.0,1.0,9.0,59.0,India,16.0,1.0,16.0,0.37452912,0.39688504,0.22858582
1.0,1.0,9.0,60.0,India,16.0,1.0,16.0,0.37452912,0.39688504,0.22858582
1.0,1.0,10.0,61.0,India,16.0,1.0,16.0,0.38792446,0.40420803,0.20786752
1.0,1.0,10.0,62.0,India,16.0,1.0,16.0,0.38792446,0.40420803,0.20786752
1.0,1.0,10.0,63.0,India,20.0,1.0,20.0,0.38792446,0.40420803,0.20786752
1.0,1.0,10.0,64.0,India,20.0,1.0,20.0,0.38792446,0.40420803,0.20786752
1.0,1.0,10.0,65.0,India,20.0,1.0,20.0,0.38792446,0.40420803,0.20786752
1.0,1.0,10.0,66.0,India,20.0,1.0,20.0,0.38792446,0.40420803,0.20786752
1.0,1.0,11.0,67.0,India,20.0,1.0,20.0,0.37452912,0.39688504,0.22858582
1.0,1.0,11.0,68.0,India,20.0,1.0,20.0,0.37452912,0.39688504,0.22858582
1.0,1.0,11.0,69.0,India,23.0,1.0,23.0,0.38197374,0.40813783,0.20988846
1.0,1.0,11.0,70.0,India,23.0,1.0,23.0,0.38197374,0.40813783,0.20988846
1.0,1.0,11.0,71.0,India,23.0,1.0,23.0,0.38075083,0.40683118,0.212418
1.0,1.0,11.0,72.0,India,25.0,1.0,25.0,0.38075083,0.40683118,0.212418
1.0,1.0,12.0,73.0,India,25.0,1.0,25.0,0.37912434,0.3917827,0.22909299
1.0,1.0,12.0,74.0,India,25.0,1.0,25.0,0.37912434,0.3917827,0.22909299
1.0,1.0,12.0,75.0,India,25.0,1.0,25.0,0.37816206,0.3907883,0.2310497
1.0,1.0,12.0,76.0,India,25.0,1.0,25.0,0.37816206,0.3907883,0.2310497
1.0,1.0,12.0,77.0,India,25.0,1.0,25.0,0.37713575,0.38972768,0.23313658
1.0,1.0,12.0,78.0,India,25.0,1.0,25.0,0.3780178,0.3906392,0.23134297
1.0,1.0,13.0,79.0,India,25.0,1.0,25.0,0.39488587,0.38999522,0.2151189
1.0,1.0,13.0,80.0,India,25.0,1.0,25.0,0.39488587,0.38999522,0.2151189
1.0,1.0,13.0,81.0,India,26.0,1.0,26.0,0.39102256,0.3924851,0.21649231
1.0,1.0,13.0,82.0,India,26.0,1.0,26.0,0.3875665,0.39409912,0.21833433
1.0,1.0,13.0,83.0,India,26.0,1.0,26.0,0.3875665,0.39409912,0.21833433
1.0,1.0,13.0,84.0,India,27.0,1.0,27.0,0.3748345,0.3850678,0.24009764
1.0,1.0,13.0,85.0,India,27.0,1.0,27.0,0.3738933,0.38410088,0.24200587
1.0,1.0,14.0,86.0,India,27.0,1.0,27.0,0.37756133,0.40505767,0.21738105
1.0,1.0,14.0,87.0,India,28.0,1.0,28.0,0.36884007,0.3924399,0.23872
1.0,1.0,14.0,88.0,India,29.0,1.0,29.0,0.37657377,0.40399817,0.21942803
1.0,1.0,14.0,89.0,India,29.0,1.0,29.0,0.37657377,0.40399817,0.21942803
1.0,1.0,14.0,90.0,India,29.0,1.0,29.0,0.37657377,0.40399817,0.21942803
1.0,1.0,14.0,91.0,India,30.0,1.0,30.0,0.36884007,0.3924399,0.23872
1.0,1.0,15.0,92.0,India,34.0,1.0,34.0,0.38565722,0.39215764,0.22218516
1.0,1.0,15.0,93.0,India,34.0,1.0,34.0,0.38565722,0.39215764,0.22218516
1.0,1.0,15.0,94.0,India,34.0,1.0,34.0,0.38565722,0.39215764,0.22218516
1.0,1.0,15.0,95.0,India,34.0,1.0,34.0,0.38565722,0.39215764,0.22218516
1.0,1.0,15.0,96.0,India,34.0,1.0,34.0,0.38565722,0.39215764,0.22218516
1.0,1.0,15.0,97.0,India,34.0,1.0,34.0,0.3813833,0.3948858,0.22373086
1.0,1.0,16.0,98.0,India,34.0,1.0,34.0,0.36449632,0.38880718,0.24669649
1.0,1.0,16.0,99.0,India,34.0,1.0,34.0,0.36340863,0.3876469,0.24894449
1.0,1.0,16.0,100.0,India,34.0,1.0,34.0,0.36340863,0.3876469,0.24894449
1.0,1.0,16.0,101.0,India,34.0,1.0,34.0,0.36340863,0.3876469,0.24894449
1.0,1.0,16.0,102.0,India,34.0,1.0,34.0,0.36340863,0.3876469,0.24894449
1.0,1.0,16.0,103.0,India,34.0,1.0,34.0,0.36340863,0.3876469,0.24894449
1.0,1.0,17.0,104.0,India,34.0,1.0,34.0,0.38035086,0.3938168,0.22583233
1.0,1.0,17.0,105.0,India,38.0,1.0,38.0,0.38035086,0.3938168,0.22583233
1.0,1.0,17.0,106.0,India,38.0,1.0,38.0,0.38035086,0.3938168,0.22583233
1.0,1.0,17.0,107.0,India,38.0,1.0,38.0,0.38035086,0.3938168,0.22583233
1.0,1.0,17.0,108.0,India,38.0,1.0,38.0,0.38035086,0.3938168,0.22583233
1.0,1.0,17.0,109.0,India,42.0,1.0,42.0,0.38900858,0.38022166,0.23076975
1.0,1.0,18.0,110.0,India,42.0,1.0,42.0,0.37155706,0.3741403,0.25430262
1.0,1.0,18.0,111.0,India,42.0,1.0,42.0,0.37155706,0.3741403,0.25430262
1.0,1.0,18.0,112.0,India,42.0,1.0,42.0,0.37155706,0.3741403,0.25430262
1.0,1.0,18.0,113.0,India,42.0,1.0,42.0,0.37155706,0.3741403,0.25430262
1.0,1.0,18.0,114.0,India,43.0,1.0,43.0,0.38545722,0.3824412,0.23210159
1.0,1.0,18.0,115.0,India,43.0,1.0,43.0,0.38545722,0.3824412,0.23210159
1.0,1.0,19.0,116.0,India,43.0,1.0,43.0,0.37566188,0.37094817,0.25338992
1.0,1.0,19.0,117.0,India,43.0,1.0,43.0,0.37566188,0.37094817,0.25338992
1.0,1.0,19.0,118.0,India,43.0,1.0,43.0,0.37566188,0.37094817,0.25338992
1.0,1.0,19.0,119.0,India,43.0,1.0,43.0,0.37566188,0.37094817,0.25338992
1.0,1.0,19.0,120.0,India,43.0,1.0,43.0,0.37566188,0.37094817,0.25338992
1.0,1.0,19.0,121.0,India,43.0,1.0,43.0,0.37566188,0.37094817,0.25338992
1.0,1.0,20.0,122.0,India,43.0,1.0,43.0,0.38545722,0.3824412,0.23210159
1.0,1.0,20.0,123.0,India,43.0,1.0,43.0,0.38545722,0.3824412,0.23210159
