innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_Australia_win,p_draw
1.0,1.0,0.0,1.0,Australia,0.0,0.0,0.0,0.38501692,0.42590588,0.18907726
1.0,1.0,0.0,2.0,Australia,0.0,0.0,0.0,0.38691464,0.42459157,0.18849377
1.0,1.0,0.0,3.0,Australia,0.0,0.0,0.0,0.38691464,0.42459157,0.18849377
1.0,1.0,0.0,4.0,Australia,0.0,0.0,0.0,0.38691464,0.42459157,0.18849377
1.0,1.0,0.0,5.0,Australia,0.0,0.0,0.0,0.38691464,0.42459157,0.18849377
1.0,1.0,0.0,6.0,Australia,0.0,0.0,0.0,0.38691464,0.42459157,0.18849377
1.0,1.0,1.0,7.0,Australia,0.0,0.0,0.0,0.38195115,0.43600726,0.18204159
1.0,1.0,1.0,8.0,Australia,0.0,0.0,0.0,0.38195115,0.43600726,0.18204159
1.0,1.0,1.0,9.0,Australia,0.0,0.0,0.0,0.38195115,0.43600726,0.18204159
1.0,1.0,1.0,10.0,Australia,0.0,0.0,0.0,0.38195115,0.43600726,0.18204159
1.0,1.0,1.0,11.0,Australia,0.0,0.0,0.0,0.38195115,0.43600726,0.18204159
1.0,1.0,1.0,12.0,Australia,0.0,0.0,0.0,0.38195115,0.43600726,0.18204159
1.0,1.0,2.0,13.0,Australia,4.0,0.0,4.0,0.38691464,0.42459157,0.18849377
1.0,1.0,2.0,14.0,Australia,8.0,0.0,8.0,0.3235587,0.39683327,0.27960804
1.0,1.0,2.0,15.0,Australia,8.0,0.0,8.0,0.3527952,0.3796817,0.26752308
1.0,1.0,2.0,16.0,Australia,8.0,0.0,8.0,0.36847985,0.3651023,0.26641786
1.0,1.0,2.0,17.0,Australia,8.0,0.0,8.0,0.36847985,0.3651023,0.26641786
1.0,1.0,2.0,18.0,Australia,8.0,0.0,8.0,0.37261394,0.3826655,0.24472058
1.0,1.0,3.0,19.0,Australia,8.0,0.0,8.0,0.37587517,0.40154433,0.2225805
1.0,1.0,3.0,20.0,Australia,8.0,0.0,8.0,0.38195115,0.43600726,0.18204159
1.0,1.0,3.0,21.0,Australia,8.0,0.0,8.0,0.38195115,0.43600726,0.18204159
1.0,1.0,3.0,22.0,Australia,12.0,0.0,12.0,0.35424832,0.3829369,0.26281482
1.0,1.0,3.0,23.0,Australia,12.0,0.0,12.0,0.35424832,0.3829369,0.26281482
1.0,1.0,3.0,24.0,Australia,12.0,0.0,12.0,0.36521992,0.37643063,0.25834945
1.0,1.0,4.0,25.0,Australia,12.0,1.0,12.0,0.37414113,0.38292068,0.24293816
1.0,1.0,4.0,26.0,Australia,12.0,1.0,12.0,0.3822453,0.39121503,0.22653972
1.0,1.0,4.0,27.0,Australia,13.0,1.0,13.0,0.38313863,0.34127823,0.27558318
1.0,1.0,4.0,28.0,Australia,13.0,1.0,13.0,0.39258033,0.34968835,0.25773132
1.0,1.0,4.0,29.0,Australia,14.0,1.0,14.0,0.37414113,0.38292068,0.24293816
1.0,1.0,4.0,30.0,Australia,14.0,1.0,14.0,0.37414113,0.38292068,0.24293816
1.0,1.0,5.0,31.0,Australia,14.0,1.0,14.0,0.38172206,0.38985404,0.2284239
1.0,1.0,5.0,32.0,Australia,14.0,1.0,14.0,0.38223937,0.39743802,0.22032265
1.0,1.0,5.0,33.0,Australia,16.0,1.0,16.0,0.37611088,0.3773032,0.24658592
1.0,1.0,5.0,34.0,Australia,16.0,1.0,16.0,0.37611088,0.3773032,0.24658592
1.0,1.0,5.0,35.0,Australia,16.0,1.0,16.0,0.3843827,0.38560125,0.23001604
1.0,1.0,5.0,36.0,Australia,16.0,1.0,16.0,0.3794625,0.39455074,0.22598681
1.0,1.0,6.0,37.0,Australia,16.0,1.0,16.0,0.37726998,0.40020728,0.22252272
1.0,1.0,6.0,38.0,Australia,16.0,1.0,16.0,0.38397115,0.40731588,0.20871292
1.0,1.0,6.0,39.0,Australia,16.0,1.0,16.0,0.39213273,0.43631238,0.17155486
1.0,1.0,6.0,40.0,Australia,16.0,1.0,16.0,0.38894862,0.4408806,0.17017072
1.0,1.0,6.0,41.0,Australia,20.0,1.0,20.0,0.37414113,0.38292068,0.24293816
1.0,1.0,6.0,42.0,Australia,20.0,1.0,20.0,0.37414113,0.38292068,0.24293816
1.0,1.0,7.0,43.0,Australia,20.0,1.0,20.0,0.3843827,0.38560125,0.23001604
1.0,1.0,7.0,44.0,Australia,20.0,1.0,20.0,0.3843827,0.38560125,0.23001604
1.0,1.0,7.0,45.0,Australia,20.0,1.0,20.0,0.3794625,0.39455074,0.22598681
1.0,1.0,7.0,46.0,Australia,20.0,1.0,20.0,0.38223937,0.39743802,0.22032265
1.0,1.0,7.0,47.0,Australia,20.0,1.0,20.0,0.38775155,0.40316936,0.20907904
1.0,1.0,7.0,48.0,Australia,21.0,1.0,21.0,0.3720161,0.43402088,0.19396302
1.0,1.0,8.0,49.0,Australia,21.0,1.0,21.0,0.38810784,0.35831454,0.25357765
1.0,1.0,8.0,50.0,Australia,21.0,1.0,21.0,0.39598313,0.36558527,0.23843162
1.0,1.0,8.0,51.0,Australia,21.0,1.0,21.0,0.40653846,0.3753303,0.21813126
1.0,1.0,8.0,52.0,Australia,25.0,1.0,25.0,0.38313863,0.34127823,0.27558318
1.0,1.0,8.0,53.0,Australia,25.0,2.0,25.0,0.38968468,0.3533295,0.25698578
1.0,1.0,8.0,54.0,Australia,25.0,2.0,25.0,0.3986248,0.36143556,0.23993963
1.0,1.0,9.0,55.0,Australia,25.0,2.0,25.0,0.37745765,0.44676748,0.17577486
1.0,1.0,9.0,56.0,Australia,25.0,2.0,25.0,0.37171227,0.45601547,0.17227225
1.0,1.0,9.0,57.0,Australia,25.0,2.0,25.0,0.37171227,0.45601547,0.17227225
1.0,1.0,9.0,58.0,Australia,29.0,2.0,29.0,0.37121865,0.43938285,0.18939845
1.0,1.0,9.0,59.0,Australia,29.0,2.0,29.0,0.37121865,0.43938285,0.18939845
1.0,1.0,9.0,60.0,Australia,30.0,2.0,30.0,0.38016254,0.3936178,0.22621967
1.0,1.0,10.0,61.0,Australia,30.0,2.0,30.0,0.37753573,0.40424728,0.21821699
1.0,1.0,10.0,62.0,Australia,30.0,2.0,30.0,0.37753573,0.40424728,0.21821699
1.0,1.0,10.0,63.0,Australia,30.0,2.0,30.0,0.37753573,0.40424728,0.21821699
1.0,1.0,10.0,64.0,Australia,32.0,2.0,32.0,0.37753573,0.40424728,0.21821699
1.0,1.0,10.0,65.0,Australia,32.0,2.0,32.0,0.37753573,0.40424728,0.21821699
1.0,1.0,10.0,66.0,Australia,32.0,2.0,32.0,0.37753573,0.40424728,0.21821699
1.0,1.0,11.0,67.0,Australia,32.0,2.0,32.0,0.3796721,0.3944001,0.22592783
1.0,1.0,11.0,68.0,Australia,32.0,2.0,32.0,0.3796721,0.3944001,0.22592783
1.0,1.0,11.0,69.0,Australia,32.0,2.0,32.0,0.3873087,0.40233287,0.2103585
1.0,1.0,11.0,70.0,Australia,32.0,2.0,32.0,0.3873087,0.40233287,0.2103585
1.0,1.0,11.0,71.0,Australia,32.0,2.0,32.0,0.38451228,0.40664798,0.20883968
1.0,1.0,11.0,72.0,Australia,32.0,2.0,32.0,0.38208535,0.4113846,0.20653
1.0,1.0,12.0,73.0,Australia,32.0,2.0,32.0,0.37952834,0.42120412,0.19926749
1.0,1.0,12.0,74.0,Australia,32.0,2.0,32.0,0.37952834,0.42120412,0.19926749
1.0,1.0,12.0,75.0,Australia,32.0,2.0,32.0,0.3844716,0.4266902,0.18883815
1.0,1.0,12.0,76.0,Australia,32.0,2.0,32.0,0.385554,0.42789143,0.18655463
1.0,1.0,12.0,77.0,Australia,32.0,2.0,32.0,0.385554,0.42789143,0.18655463
1.0,1.0,12.0,78.0,Australia,32.0,2.0,32.0,0.3916175,0.4558712,0.15251133
1.0,1.0,13.0,79.0,Australia,32.0,2.0,32.0,0.39521658,0.44632843,0.15845494
1.0,1.0,13.0,80.0,Australia,32.0,2.0,32.0,0.39193797,0.4509216,0.15714045
1.0,1.0,13.0,81.0,Australia,32.0,2.0,32.0,0.39193797,0.4509216,0.15714045
1.0,1.0,13.0,82.0,Australia,32.0,2.0,32.0,0.39193797,0.4509216,0.15714045
1.0,1.0,13.0,83.0,Australia,32.0,2.0,32.0,0.39193797,0.4509216,0.15714045
1.0,1.0,13.0,84.0,Australia,32.0,2.0,32.0,0.39193797,0.4509216,0.15714045
1.0,1.0,14.0,85.0,Australia,32.0,2.0,32.0,0.38829678,0.46047726,0.151226
1.0,1.0,14.0,86.0,Australia,36.0,2.0,36.0,0.385554,0.42789143,0.18655463
1.0,1.0,14.0,87.0,Australia,36.0,2.0,36.0,0.386604,0.42905676,0.1843392
1.0,1.0,14.0,88.0,Australia,38.0,2.0,38.0,0.37952834,0.42120412,0.19926749
1.0,1.0,14.0,89.0,Australia,39.0,2.0,39.0,0.3938835,0.37016362,0.23595293
1.0,1.0,14.0,90.0,Australia,39.0,2.0,39.0,0.3938835,0.37016362,0.23595293
