innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_New Zealand_win,p_England_win,p_draw
1.0,1.0,8.0,53.0,New Zealand,20.0,0.0,20.0,0.45930496,0.35620204,0.18449305
1.0,1.0,8.0,54.0,New Zealand,20.0,0.0,20.0,0.4580119,0.35519922,0.1867889
1.0,1.0,9.0,55.0,New Zealand,20.0,0.0,20.0,0.39244884,0.42659953,0.1809516
1.0,1.0,9.0,56.0,New Zealand,20.0,0.0,20.0,0.39155284,0.42562556,0.18282166
1.0,1.0,9.0,57.0,New Zealand,21.0,0.0,21.0,0.43094403,0.35773376,0.21132219
1.0,1.0,9.0,58.0,New Zealand,25.0,0.0,25.0,0.42752638,0.33212835,0.24034522
1.0,1.0,9.0,59.0,New Zealand,25.0,0.0,25.0,0.4280554,0.33253932,0.23940523
1.0,1.0,9.0,60.0,New Zealand,25.0,0.0,25.0,0.4269604,0.33168867,0.24135093
1.0,1.0,10.0,61.0,New Zealand,25.0,0.0,25.0,0.41521314,0.43035135,0.15443552
1.0,1.0,10.0,62.0,New Zealand,29.0,0.0,29.0,0.41184384,0.39263913,0.19551705
1.0,1.0,10.0,63.0,New Zealand,29.0,0.0,29.0,0.41184384,0.39263913,0.19551705
1.0,1.0,10.0,64.0,New Zealand,29.0,0.0,29.0,0.41072634,0.39572075,0.1935529
1.0,1.0,10.0,65.0,New Zealand,29.0,0.0,29.0,0.4078426,0.4000443,0.19211309
1.0,1.0,10.0,66.0,New Zealand,29.0,0.0,29.0,0.4078426,0.4000443,0.19211309
1.0,1.0,11.0,67.0,New Zealand,29.0,0.0,29.0,0.4272905,0.3295045,0.24320501
1.0,1.0,11.0,68.0,New Zealand,29.0,0.0,29.0,0.4305962,0.3320537,0.23735008
1.0,1.0,11.0,69.0,New Zealand,29.0,0.0,29.0,0.4289815,0.33080852,0.24021001
1.0,1.0,11.0,70.0,New Zealand,29.0,0.0,29.0,0.42640692,0.32882315,0.24476993
1.0,1.0,11.0,71.0,New Zealand,29.0,0.0,29.0,0.43070874,0.34838024,0.22091101
1.0,1.0,11.0,72.0,New Zealand,33.0,0.0,33.0,0.43033403,0.32017282,0.24949314
1.0,1.0,12.0,73.0,New Zealand,37.0,0.0,37.0,0.37621042,0.34553266,0.27825695
1.0,1.0,12.0,74.0,New Zealand,37.0,0.0,37.0,0.37621042,0.34553266,0.27825695
1.0,1.0,12.0,75.0,New Zealand,37.0,0.0,37.0,0.37621042,0.34553266,0.27825695
1.0,1.0,12.0,76.0,New Zealand,41.0,0.0,41.0,0.40462783,0.32141823,0.27395394
1.0,1.0,12.0,77.0,New Zealand,41.0,0.0,41.0,0.40462783,0.32141823,0.27395394
1.0,1.0,12.0,78.0,New Zealand,41.0,0.0,41.0,0.39786834,0.32506743,0.27706426
1.0,1.0,13.0,79.0,New Zealand,42.0,0.0,42.0,0.45093778,0.3440246,0.20503764
1.0,1.0,13.0,80.0,New Zealand,43.0,0.0,43.0,0.51637816,0.26266935,0.22095251
1.0,1.0,13.0,81.0,New Zealand,43.0,0.0,43.0,0.51637816,0.26266935,0.22095251
1.0,1.0,13.0,82.0,New Zealand,43.0,0.0,43.0,0.5149976,0.2619671,0.22303537
1.0,1.0,13.0,83.0,New Zealand,43.0,0.0,43.0,0.50991595,0.26471183,0.22537223
1.0,1.0,13.0,84.0,New Zealand,43.0,0.0,43.0,0.48552755,0.2778849,0.2365876
1.0,1.0,14.0,85.0,New Zealand,47.0,0.0,47.0,0.41717726,0.31124598,0.27157673
1.0,1.0,14.0,86.0,New Zealand,47.0,0.0,47.0,0.4037062,0.31844,0.27785385
1.0,1.0,14.0,87.0,New Zealand,47.0,0.0,47.0,0.4037062,0.31844,0.27785385
1.0,1.0,14.0,88.0,New Zealand,49.0,0.0,49.0,0.4215262,0.30892354,0.26955026
1.0,1.0,14.0,89.0,New Zealand,49.0,0.0,49.0,0.41567487,0.31204832,0.2722768
1.0,1.0,14.0,90.0,New Zealand,50.0,0.0,50.0,0.4215262,0.30892354,0.26955026
1.0,1.0,14.0,91.0,New Zealand,54.0,0.0,54.0,0.44579926,0.29619697,0.25800386
1.0,1.0,15.0,92.0,New Zealand,54.0,0.0,54.0,0.549547,0.24760604,0.20284688
1.0,1.0,15.0,93.0,New Zealand,54.0,0.0,54.0,0.549547,0.24760604,0.20284688
1.0,1.0,15.0,94.0,New Zealand,54.0,0.0,54.0,0.5480914,0.2469502,0.20495841
1.0,1.0,15.0,95.0,New Zealand,54.0,0.0,54.0,0.54641306,0.24619398,0.20739299
1.0,1.0,15.0,96.0,New Zealand,54.0,0.0,54.0,0.5462757,0.24613209,0.20759222
1.0,1.0,15.0,97.0,New Zealand,54.0,0.0,54.0,0.5344097,0.25256902,0.21302123
1.0,1.0,16.0,98.0,New Zealand,54.0,0.0,54.0,0.41419834,0.31093988,0.27486184
1.0,1.0,16.0,99.0,New Zealand,55.0,0.0,55.0,0.47495657,0.21319366,0.31184977
1.0,1.0,16.0,100.0,New Zealand,55.0,0.0,55.0,0.46896487,0.2156266,0.31540853
1.0,1.0,16.0,101.0,New Zealand,56.0,0.0,56.0,0.41103622,0.3066643,0.28229952
1.0,1.0,16.0,102.0,New Zealand,56.0,0.0,56.0,0.39762813,0.31364566,0.28872618
1.0,1.0,16.0,103.0,New Zealand,60.0,0.0,60.0,0.43956023,0.29205164,0.26838815
1.0,1.0,17.0,104.0,New Zealand,64.0,0.0,64.0,0.5480835,0.23848023,0.21343629
1.0,1.0,17.0,105.0,New Zealand,64.0,0.0,64.0,0.5480835,0.23848023,0.21343629
1.0,1.0,17.0,106.0,New Zealand,64.0,0.0,64.0,0.5480835,0.23848023,0.21343629
1.0,1.0,17.0,107.0,New Zealand,64.0,0.0,64.0,0.5480835,0.23848023,0.21343629
1.0,1.0,17.0,108.0,New Zealand,64.0,0.0,64.0,0.5465912,0.23783092,0.21557784
1.0,1.0,17.0,109.0,New Zealand,64.0,0.0,64.0,0.5465912,0.23783092,0.21557784
1.0,1.0,18.0,110.0,New Zealand,64.0,0.0,64.0,0.5268488,0.25681216,0.21633904
1.0,1.0,18.0,111.0,New Zealand,69.0,0.0,69.0,0.53008205,0.25225124,0.2176667
1.0,1.0,18.0,112.0,New Zealand,69.0,0.0,69.0,0.53008205,0.25225124,0.2176667
1.0,1.0,18.0,113.0,New Zealand,70.0,0.0,70.0,0.53008205,0.25225124,0.2176667
1.0,1.0,18.0,114.0,New Zealand,70.0,0.0,70.0,0.53008205,0.25225124,0.2176667
1.0,1.0,18.0,115.0,New Zealand,70.0,0.0,70.0,0.53008205,0.25225124,0.2176667
1.0,1.0,18.0,116.0,New Zealand,71.0,0.0,71.0,0.5907176,0.17226245,0.23701993
1.0,1.0,18.0,117.0,New Zealand,71.0,0.0,71.0,0.5907176,0.17226245,0.23701993
1.0,1.0,19.0,118.0,New Zealand,71.0,0.0,71.0,0.5461897,0.22083955,0.23297073
1.0,1.0,19.0,119.0,New Zealand,71.0,0.0,71.0,0.5461897,0.22083955,0.23297073
1.0,1.0,19.0,120.0,New Zealand,71.0,0.0,71.0,0.5461897,0.22083955,0.23297073
1.0,1.0,19.0,121.0,New Zealand,75.0,0.0,75.0,0.5550311,0.2026547,0.24231414
1.0,1.0,19.0,122.0,New Zealand,75.0,0.0,75.0,0.5550311,0.2026547,0.24231414
1.0,1.0,19.0,123.0,New Zealand,75.0,0.0,75.0,0.5550311,0.2026547,0.24231414
1.0,1.0,20.0,124.0,New Zealand,76.0,0.0,76.0,0.5485181,0.22094336,0.2305385
1.0,1.0,20.0,125.0,New Zealand,76.0,0.0,76.0,0.5485181,0.22094336,0.2305385
1.0,1.0,20.0,126.0,New Zealand,80.0,0.0,80.0,0.5506926,0.21987924,0.22942819
1.0,1.0,20.0,127.0,New Zealand,80.0,0.0,80.0,0.5506926,0.21987924,0.22942819
1.0,1.0,20.0,128.0,New Zealand,80.0,0.0,80.0,0.5506926,0.21987924,0.22942819
1.0,1.0,20.0,129.0,New Zealand,84.0,0.0,84.0,0.5555688,0.21297146,0.23145969
1.0,1.0,21.0,130.0,New Zealand,84.0,1.0,84.0,0.57564133,0.22321038,0.20114824
1.0,1.0,21.0,131.0,New Zealand,84.0,2.0,84.0,0.5567102,0.2845309,0.15875891
1.0,1.0,21.0,132.0,New Zealand,84.0,2.0,84.0,0.5567102,0.2845309,0.15875891
1.0,1.0,21.0,133.0,New Zealand,84.0,2.0,84.0,0.5567102,0.2845309,0.15875891
1.0,1.0,21.0,134.0,New Zealand,88.0,2.0,88.0,0.5811449,0.25312802,0.16572703
1.0,1.0,21.0,135.0,New Zealand,88.0,2.0,88.0,0.5811449,0.25312802,0.16572703
1.0,1.0,22.0,136.0,New Zealand,88.0,2.0,88.0,0.62739265,0.19923271,0.17337462
1.0,1.0,22.0,137.0,New Zealand,88.0,2.0,88.0,0.62739265,0.19923271,0.17337462
1.0,1.0,22.0,138.0,New Zealand,88.0,2.0,88.0,0.62739265,0.19923271,0.17337462
1.0,1.0,22.0,139.0,New Zealand,88.0,2.0,88.0,0.62739265,0.19923271,0.17337462
1.0,1.0,22.0,140.0,New Zealand,88.0,2.0,88.0,0.62739265,0.19923271,0.17337462
1.0,1.0,22.0,141.0,New Zealand,92.0,2.0,92.0,0.6288922,0.1973188,0.17378901
1.0,1.0,23.0,142.0,New Zealand,92.0,2.0,92.0,0.58291084,0.25085858,0.16623062
1.0,1.0,23.0,143.0,New Zealand,93.0,2.0,93.0,0.5825691,0.25055677,0.1668741
1.0,1.0,23.0,144.0,New Zealand,93.0,2.0,93.0,0.5825691,0.25055677,0.1668741
1.0,1.0,23.0,145.0,New Zealand,97.0,2.0,97.0,0.5842558,0.24791223,0.16783196
1.0,1.0,23.0,146.0,New Zealand,97.0,2.0,97.0,0.5842558,0.24791223,0.16783196
1.0,1.0,23.0,147.0,New Zealand,97.0,2.0,97.0,0.5842558,0.24791223,0.16783196
1.0,1.0,24.0,148.0,New Zealand,97.0,2.0,97.0,0.63390815,0.19506733,0.17102452
1.0,1.0,24.0,149.0,New Zealand,101.0,2.0,101.0,0.6324771,0.19464792,0.17287496
1.0,1.0,24.0,150.0,New Zealand,102.0,2.0,102.0,0.6287966,0.19466391,0.17653947
1.0,1.0,24.0,151.0,New Zealand,102.0,2.0,102.0,0.6287966,0.19466391,0.17653947
1.0,1.0,24.0,152.0,New Zealand,102.0,2.0,102.0,0.6287966,0.19466391,0.17653947
1.0,1.0,24.0,153.0,New Zealand,104.0,2.0,104.0,0.63091147,0.19355485,0.17553367
1.0,1.0,25.0,154.0,New Zealand,104.0,2.0,104.0,0.5898474,0.24507797,0.16507463
1.0,1.0,25.0,155.0,New Zealand,104.0,2.0,104.0,0.5898474,0.24507797,0.16507463
1.0,1.0,25.0,156.0,New Zealand,104.0,2.0,104.0,0.5898474,0.24507797,0.16507463
1.0,1.0,25.0,157.0,New Zealand,104.0,2.0,104.0,0.5898474,0.24507797,0.16507463
1.0,1.0,25.0,158.0,New Zealand,104.0,2.0,104.0,0.5898474,0.24507797,0.16507463
1.0,1.0,25.0,159.0,New Zealand,104.0,2.0,104.0,0.5898474,0.24507797,0.16507463
1.0,1.0,26.0,160.0,New Zealand,108.0,2.0,108.0,0.53740275,0.22109269,0.24150452
1.0,1.0,26.0,161.0,New Zealand,110.0,2.0,110.0,0.5482758,0.20236157,0.24936259
1.0,1.0,26.0,162.0,New Zealand,110.0,2.0,110.0,0.5482758,0.20236157,0.24936259
1.0,1.0,26.0,163.0,New Zealand,110.0,2.0,110.0,0.5482758,0.20236157,0.24936259
1.0,1.0,26.0,164.0,New Zealand,114.0,2.0,114.0,0.5490051,0.20017533,0.2508196
1.0,1.0,26.0,165.0,New Zealand,118.0,2.0,118.0,0.5490051,0.20017533,0.2508196
1.0,1.0,27.0,166.0,New Zealand,118.0,2.0,118.0,0.605549,0.24575527,0.14869577
1.0,1.0,27.0,167.0,New Zealand,119.0,2.0,119.0,0.6025524,0.23919322,0.15825441
1.0,1.0,27.0,168.0,New Zealand,120.0,2.0,120.0,0.6108539,0.2391477,0.14999843
1.0,1.0,27.0,169.0,New Zealand,123.0,2.0,123.0,0.6077493,0.23263144,0.15961932
1.0,1.0,27.0,170.0,New Zealand,126.0,2.0,126.0,0.60863537,0.23827916,0.15308543
1.0,1.0,27.0,171.0,New Zealand,126.0,2.0,126.0,0.60863537,0.23827916,0.15308543
1.0,1.0,28.0,172.0,New Zealand,126.0,2.0,126.0,0.55410546,0.18659315,0.25930136
1.0,1.0,28.0,173.0,New Zealand,126.0,2.0,126.0,0.55410546,0.18659315,0.25930136
1.0,1.0,28.0,174.0,New Zealand,127.0,2.0,127.0,0.56255907,0.19155732,0.2458836
1.0,1.0,28.0,175.0,New Zealand,127.0,2.0,127.0,0.56255907,0.19155732,0.2458836
1.0,1.0,28.0,176.0,New Zealand,127.0,2.0,127.0,0.56255907,0.19155732,0.2458836
1.0,1.0,28.0,177.0,New Zealand,127.0,2.0,127.0,0.56255907,0.19155732,0.2458836
1.0,1.0,29.0,178.0,New Zealand,128.0,2.0,128.0,0.60863537,0.23827916,0.15308543
1.0,1.0,29.0,179.0,New Zealand,128.0,2.0,128.0,0.60863537,0.23827916,0.15308543
1.0,1.0,29.0,180.0,New Zealand,128.0,2.0,128.0,0.60863537,0.23827916,0.15308543
1.0,1.0,29.0,181.0,New Zealand,128.0,2.0,128.0,0.60863537,0.23827916,0.15308543
1.0,1.0,29.0,182.0,New Zealand,129.0,2.0,129.0,0.605401,0.23173258,0.1628664
1.0,1.0,29.0,183.0,New Zealand,129.0,2.0,129.0,0.605401,0.23173258,0.1628664
1.0,1.0,30.0,184.0,New Zealand,129.0,2.0,129.0,0.5622335,0.19144645,0.24632008
1.0,1.0,30.0,185.0,New Zealand,129.0,2.0,129.0,0.5622335,0.19144645,0.24632008
1.0,1.0,30.0,186.0,New Zealand,129.0,2.0,129.0,0.56324375,0.19000128,0.246755
1.0,1.0,30.0,187.0,New Zealand,129.0,2.0,129.0,0.56324375,0.19000128,0.246755
1.0,1.0,30.0,188.0,New Zealand,131.0,2.0,131.0,0.56170416,0.18948193,0.24881388
1.0,1.0,30.0,189.0,New Zealand,131.0,2.0,131.0,0.56170416,0.18948193,0.24881388
1.0,1.0,31.0,190.0,New Zealand,131.0,2.0,131.0,0.60368615,0.22892056,0.16739327
1.0,1.0,31.0,191.0,New Zealand,135.0,2.0,135.0,0.60938877,0.22026369,0.17034759
1.0,1.0,31.0,192.0,New Zealand,135.0,2.0,135.0,0.60938877,0.22026369,0.17034759
1.0,1.0,31.0,193.0,New Zealand,135.0,2.0,135.0,0.60938877,0.22026369,0.17034759
1.0,1.0,31.0,194.0,New Zealand,135.0,2.0,135.0,0.6111439,0.21927394,0.16958216
1.0,1.0,31.0,195.0,New Zealand,139.0,2.0,139.0,0.61442477,0.20706765,0.1785076
1.0,1.0,32.0,196.0,New Zealand,140.0,2.0,140.0,0.55534285,0.16465087,0.2800063
1.0,1.0,32.0,197.0,New Zealand,140.0,2.0,140.0,0.55534285,0.16465087,0.2800063
1.0,1.0,32.0,198.0,New Zealand,140.0,2.0,140.0,0.55721486,0.16520591,0.27757922
1.0,1.0,32.0,199.0,New Zealand,140.0,2.0,140.0,0.55721486,0.16520591,0.27757922
1.0,1.0,32.0,200.0,New Zealand,140.0,2.0,140.0,0.55717033,0.1651927,0.27763703
1.0,1.0,32.0,201.0,New Zealand,140.0,2.0,140.0,0.55717033,0.1651927,0.27763703
1.0,1.0,33.0,202.0,New Zealand,140.0,2.0,140.0,0.6172743,0.21119863,0.17152712
1.0,1.0,33.0,203.0,New Zealand,140.0,2.0,140.0,0.6172743,0.21119863,0.17152712
1.0,1.0,33.0,204.0,New Zealand,141.0,2.0,141.0,0.6100332,0.20407113,0.18589567
1.0,1.0,33.0,205.0,New Zealand,141.0,2.0,141.0,0.6100332,0.20407113,0.18589567
1.0,1.0,33.0,206.0,New Zealand,145.0,2.0,145.0,0.6093766,0.20385148,0.18677193
1.0,1.0,33.0,207.0,New Zealand,146.0,2.0,146.0,0.61666113,0.21098885,0.17234999
1.0,1.0,34.0,208.0,New Zealand,146.0,2.0,146.0,0.55695266,0.16391008,0.27913725
1.0,1.0,34.0,209.0,New Zealand,146.0,2.0,146.0,0.55695266,0.16391008,0.27913725
1.0,1.0,34.0,210.0,New Zealand,147.0,2.0,147.0,0.5680737,0.16786756,0.2640588
1.0,1.0,34.0,211.0,New Zealand,147.0,2.0,147.0,0.5680737,0.16786756,0.2640588
1.0,1.0,34.0,212.0,New Zealand,147.0,2.0,147.0,0.5662595,0.16733146,0.26640907
1.0,1.0,34.0,213.0,New Zealand,147.0,2.0,147.0,0.5662595,0.16733146,0.26640907
1.0,1.0,35.0,214.0,New Zealand,147.0,2.0,147.0,0.6096728,0.20252207,0.18780516
1.0,1.0,35.0,215.0,New Zealand,148.0,2.0,148.0,0.6293428,0.18568644,0.18497077
1.0,1.0,35.0,216.0,New Zealand,152.0,2.0,152.0,0.6293428,0.18568644,0.18497077
1.0,1.0,35.0,217.0,New Zealand,152.0,2.0,152.0,0.62954026,0.18574472,0.18471499
1.0,1.0,35.0,218.0,New Zealand,154.0,2.0,154.0,0.62954026,0.18574472,0.18471499
1.0,1.0,35.0,219.0,New Zealand,154.0,2.0,154.0,0.6280441,0.18530327,0.18665263
1.0,1.0,36.0,220.0,New Zealand,155.0,2.0,155.0,0.6633525,0.12775154,0.20889597
1.0,1.0,36.0,221.0,New Zealand,155.0,2.0,155.0,0.6633525,0.12775154,0.20889597
1.0,1.0,36.0,222.0,New Zealand,156.0,2.0,156.0,0.6557347,0.12570745,0.2185579
1.0,1.0,36.0,223.0,New Zealand,157.0,2.0,157.0,0.6633525,0.12775154,0.20889597
1.0,1.0,36.0,224.0,New Zealand,157.0,2.0,157.0,0.66154313,0.1274031,0.21105377
1.0,1.0,36.0,225.0,New Zealand,157.0,2.0,157.0,0.66154313,0.1274031,0.21105377
