innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_Australia_win,p_India_win,p_draw
1.0,1.0,8.0,55.0,Australia,17.0,2.0,17.0,0.5799411,0.29753643,0.12252251
1.0,1.0,8.0,56.0,Australia,17.0,2.0,17.0,0.5799411,0.29753643,0.12252251
1.0,1.0,9.0,57.0,Australia,20.0,2.0,20.0,0.4729424,0.35999197,0.16706556
1.0,1.0,9.0,58.0,Australia,20.0,2.0,20.0,0.4729424,0.35999197,0.16706556
1.0,1.0,9.0,59.0,Australia,20.0,2.0,20.0,0.4729424,0.35999197,0.16706556
1.0,1.0,9.0,60.0,Australia,20.0,2.0,20.0,0.4729424,0.35999197,0.16706556
1.0,1.0,9.0,61.0,Australia,21.0,2.0,21.0,0.46899942,0.35699064,0.17400993
1.0,1.0,9.0,62.0,Australia,22.0,2.0,22.0,0.4729424,0.35999197,0.16706556
1.0,1.0,10.0,63.0,Australia,22.0,2.0,22.0,0.5763872,0.29571313,0.12789968
1.0,1.0,10.0,64.0,Australia,22.0,2.0,22.0,0.5763872,0.29571313,0.12789968
1.0,1.0,10.0,65.0,Australia,22.0,2.0,22.0,0.5763872,0.29571313,0.12789968
1.0,1.0,10.0,66.0,Australia,22.0,2.0,22.0,0.5763872,0.29571313,0.12789968
1.0,1.0,10.0,67.0,Australia,22.0,2.0,22.0,0.5763872,0.29571313,0.12789968
1.0,1.0,10.0,68.0,Australia,22.0,2.0,22.0,0.5763872,0.29571313,0.12789968
1.0,1.0,11.0,69.0,Australia,22.0,2.0,22.0,0.4729424,0.35999197,0.16706556
1.0,1.0,11.0,70.0,Australia,22.0,2.0,22.0,0.4729424,0.35999197,0.16706556
1.0,1.0,11.0,71.0,Australia,23.0,2.0,23.0,0.46899942,0.35699064,0.17400993
1.0,1.0,11.0,72.0,Australia,23.0,2.0,23.0,0.46899942,0.35699064,0.17400993
1.0,1.0,11.0,73.0,Australia,23.0,2.0,23.0,0.46899942,0.35699064,0.17400993
1.0,1.0,11.0,74.0,Australia,25.0,2.0,25.0,0.46899942,0.35699064,0.17400993
1.0,1.0,12.0,75.0,Australia,25.0,2.0,25.0,0.5799411,0.29753643,0.12252251
1.0,1.0,12.0,76.0,Australia,25.0,2.0,25.0,0.5799411,0.29753643,0.12252251
1.0,1.0,12.0,77.0,Australia,25.0,2.0,25.0,0.5799411,0.29753643,0.12252251
1.0,1.0,12.0,78.0,Australia,29.0,2.0,29.0,0.5799411,0.29753643,0.12252251
1.0,1.0,12.0,79.0,Australia,33.0,2.0,33.0,0.5825285,0.2796903,0.13778119
1.0,1.0,12.0,80.0,Australia,35.0,2.0,35.0,0.58355767,0.2830234,0.13341889
1.0,1.0,13.0,81.0,Australia,35.0,2.0,35.0,0.4412685,0.34221485,0.21651658
1.0,1.0,13.0,82.0,Australia,39.0,2.0,39.0,0.45032802,0.33134353,0.2183284
1.0,1.0,13.0,83.0,Australia,39.0,2.0,39.0,0.44617826,0.33384505,0.21997671
1.0,1.0,13.0,84.0,Australia,39.0,2.0,39.0,0.44617826,0.33384505,0.21997671
1.0,1.0,13.0,85.0,Australia,39.0,2.0,39.0,0.44617826,0.33384505,0.21997671
1.0,1.0,13.0,86.0,Australia,39.0,2.0,39.0,0.44350192,0.33784088,0.21865721
