innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_Australia_win,p_draw
1.0,1.0,9.0,58.0,England,42.0,0.0,42.0,0.65966165,0.1549541,0.18538426
1.0,1.0,9.0,59.0,England,44.0,0.0,44.0,0.65966165,0.1549541,0.18538426
1.0,1.0,9.0,60.0,England,44.0,0.0,44.0,0.6582244,0.15461649,0.18715908
1.0,1.0,9.0,61.0,England,44.0,0.0,44.0,0.65758836,0.15446708,0.18794459
1.0,1.0,9.0,62.0,England,44.0,0.0,44.0,0.65758836,0.15446708,0.18794459
1.0,1.0,9.0,63.0,England,44.0,0.0,44.0,0.65758836,0.15446708,0.18794459
1.0,1.0,10.0,64.0,England,44.0,0.0,44.0,0.5471033,0.29426897,0.15862778
1.0,1.0,10.0,65.0,England,44.0,0.0,44.0,0.5455406,0.29342845,0.16103098
1.0,1.0,10.0,66.0,England,45.0,0.0,45.0,0.5455406,0.29342845,0.16103098
1.0,1.0,10.0,67.0,England,45.0,0.0,45.0,0.5455406,0.29342845,0.16103098
1.0,1.0,10.0,68.0,England,45.0,0.0,45.0,0.5443463,0.29278606,0.16286767
1.0,1.0,10.0,69.0,England,46.0,0.0,46.0,0.54929847,0.28842357,0.16227794
1.0,1.0,10.0,70.0,England,50.0,0.0,50.0,0.547067,0.28725192,0.1656811
1.0,1.0,10.0,71.0,England,50.0,0.0,50.0,0.547067,0.28725192,0.1656811
1.0,1.0,11.0,72.0,England,50.0,0.0,50.0,0.65448457,0.15260766,0.19290774
1.0,1.0,11.0,73.0,England,50.0,0.0,50.0,0.65448457,0.15260766,0.19290774
1.0,1.0,11.0,74.0,England,50.0,0.0,50.0,0.65448457,0.15260766,0.19290774
1.0,1.0,11.0,75.0,England,50.0,0.0,50.0,0.65448457,0.15260766,0.19290774
1.0,1.0,11.0,76.0,England,54.0,0.0,54.0,0.6577368,0.15117122,0.19109195
1.0,1.0,11.0,77.0,England,54.0,0.0,54.0,0.6577368,0.15117122,0.19109195
1.0,1.0,12.0,78.0,England,54.0,0.0,54.0,0.547067,0.28725192,0.1656811
1.0,1.0,12.0,79.0,England,55.0,0.0,55.0,0.6309468,0.208806,0.16024718
1.0,1.0,12.0,80.0,England,56.0,0.0,56.0,0.630467,0.20718579,0.16234726
1.0,1.0,12.0,81.0,England,56.0,0.0,56.0,0.630467,0.20718579,0.16234726
1.0,1.0,12.0,82.0,England,56.0,0.0,56.0,0.6292276,0.20677848,0.16399397
1.0,1.0,12.0,83.0,England,56.0,0.0,56.0,0.6292276,0.20677848,0.16399397
1.0,1.0,12.0,84.0,England,56.0,0.0,56.0,0.6292276,0.20677848,0.16399397
1.0,1.0,13.0,85.0,England,56.0,0.0,56.0,0.45604944,0.33499858,0.20895196
1.0,1.0,13.0,86.0,England,56.0,0.0,56.0,0.45604944,0.33499858,0.20895196
1.0,1.0,13.0,87.0,England,56.0,0.0,56.0,0.45604944,0.33499858,0.20895196
