match_id,match_date,venue,city,year,team1,team2,outcome,innings_num,batting_team,bowling_team,over,ball_in_over,ball_in_innings,ball_in_match,phase,is_chasing,innings_runs,innings_wickets,wickets_in_hand,balls_remaining_in_innings,current_run_rate,target,runs_needed,required_run_rate,rr_gap,partnership_runs,partnership_balls,recent_dot_pct,recent_run_rate,recent_boundaries,balls_since_wicket,batter,bowler,non_striker,ball_runs,batter_runs,ball_wicket,batter_wicket,ball_dot,ball_boundary,career_bat_avg_odi,career_bat_sr_odi,career_bat_balls_faced_odi,career_bowl_avg_odi,career_bowl_sr_odi,career_bowl_econ_odi,career_bowl_balls_bowled_odi,label,is_team1_batting,prob_team1_win,prob_team2_win
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,10.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JJ Roy,Mohammed Shami,JM Bairstow,1,0,False,False,False,False,41.698412698412696,102.93887147335423,2552.0,25.73148148148148,28.65740740740741,5.387399030694668,3095.0,0,1,0.60948503,0.39051494
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,0.0,2,2.0,2.0,0.0,0.0,1.0,0.0,10.0,298.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,JJ Roy,Mohammed Shami,JM Bairstow,0,0,False,False,True,False,41.698412698412696,102.93887147335423,2552.0,25.73148148148148,28.65740740740741,5.387399030694668,3095.0,0,1,0.61763954,0.38236043
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,0.0,3,3.0,3.0,0.0,0.0,1.0,0.0,10.0,297.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,0.0,2.0,JJ Roy,Mohammed Shami,JM Bairstow,4,4,False,False,False,True,41.698412698412696,102.93887147335423,2552.0,25.73148148148148,28.65740740740741,5.387399030694668,3095.0,0,1,0.59817135,0.40182862
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,0.0,4,4.0,4.0,0.0,0.0,5.0,0.0,10.0,296.0,7.5,0.0,0.0,0.0,0.0,5.0,3.0,0.333,10.0,1.0,3.0,JJ Roy,Mohammed Shami,JM Bairstow,0,0,False,False,True,False,41.698412698412696,102.93887147335423,2552.0,25.73148148148148,28.65740740740741,5.387399030694668,3095.0,0,1,0.7573165,0.24268349
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,0.0,5,5.0,5.0,0.0,0.0,5.0,0.0,10.0,295.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,0.5,7.5,1.0,4.0,JJ Roy,Mohammed Shami,JM Bairstow,0,0,False,False,True,False,41.698412698412696,102.93887147335423,2552.0,25.73148148148148,28.65740740740741,5.387399030694668,3095.0,0,1,0.72332484,0.27667516
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,0.0,6,6.0,6.0,0.0,0.0,5.0,0.0,10.0,294.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.6,6.0,1.0,5.0,JJ Roy,Mohammed Shami,JM Bairstow,4,4,False,False,False,True,41.698412698412696,102.93887147335423,2552.0,25.73148148148148,28.65740740740741,5.387399030694668,3095.0,0,1,0.6868979,0.31310213
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,0.0,7,7.0,7.0,0.0,0.0,9.0,0.0,10.0,293.0,7.714,0.0,0.0,0.0,0.0,9.0,6.0,0.5,9.0,2.0,6.0,JJ Roy,Mohammed Shami,JM Bairstow,0,0,False,False,True,False,41.698412698412696,102.93887147335423,2552.0,25.73148148148148,28.65740740740741,5.387399030694668,3095.0,0,1,0.7390002,0.2609998
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,1.0,1,8.0,8.0,0.0,0.0,9.0,0.0,10.0,292.0,6.75,0.0,0.0,0.0,0.0,9.0,7.0,0.571,7.714,2.0,7.0,JM Bairstow,JJ Bumrah,JJ Roy,0,0,False,False,True,False,41.705882352941174,101.23750594954784,2101.0,21.04255319148936,27.48936170212766,4.5928792569659445,2584.0,0,1,0.7301481,0.2698519
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,1.0,2,9.0,9.0,0.0,0.0,9.0,0.0,10.0,291.0,6.0,0.0,0.0,0.0,0.0,9.0,8.0,0.625,6.75,2.0,8.0,JM Bairstow,JJ Bumrah,JJ Roy,0,0,False,False,True,False,41.705882352941174,101.23750594954784,2101.0,21.04255319148936,27.48936170212766,4.5928792569659445,2584.0,0,1,0.71849626,0.28150374
1144520,2019-06-30,Edgbaston,Birmingham,2019,England,India,team1_win,1.0,England,India,1.0,3,10.0,10.0,0.0,0.0,9.0,0.0,10.0,290.0,5.4,0.0,0.0,0.0,0.0,9.0,9.0,0.667,6.0,2.0,9.0,JM Bairstow,JJ Bumrah,JJ Roy,0,0,False,False,True,False,41.705882352941174,101.23750594954784,2101.0,21.04255319148936,27.48936170212766,4.5928792569659445,2584.0,0,1,0.6991986,0.30080143
